country,year,bottom_50,top_1,gap
norway,1981,0.2547,0.0736,-0.18109999999999998
norway,1982,0.2596,0.0712,-0.1884
norway,1983,0.2633,0.0698,-0.19349999999999998
norway,1984,0.2634,0.0776,-0.18580000000000002
norway,1985,0.263,0.0796,-0.1834
norway,1986,0.2766,0.0576,-0.21900000000000003
norway,1987,0.2782,0.0555,-0.2227
norway,1988,0.2838,0.0497,-0.2341
norway,1989,0.2868,0.0566,-0.23020000000000002
norway,1990,0.2843,0.0583,-0.226
norway,1991,0.2853,0.0598,-0.2255
norway,1992,0.284,0.0686,-0.21539999999999998
norway,1993,0.2731,0.0802,-0.19290000000000002
norway,1994,0.2634,0.0849,-0.17850000000000002
norway,1995,0.2641,0.0848,-0.17930000000000001
norway,1996,0.2553,0.0975,-0.15780000000000002
norway,1997,0.2468,0.1053,-0.1415
norway,1998,0.2605,0.0887,-0.1718
norway,1999,0.2565,0.0986,-0.1579
norway,2000,0.2412,0.1261,-0.11510000000000001
norway,2001,0.2539,0.1069,-0.14700000000000002
norway,2002,0.2525,0.1146,-0.13790000000000002
norway,2003,0.2482,0.1196,-0.1286
norway,2004,0.2435,0.1264,-0.11709999999999998
norway,2005,0.2366,0.141,-0.09560000000000002
norway,2006,0.2361,0.1323,-0.1038
norway,2007,0.2361,0.1321,-0.10400000000000001
norway,2008,0.2368,0.1399,-0.09690000000000001
norway,2009,0.2494,0.1109,-0.1385
norway,2010,0.2409,0.124,-0.1169
norway,2011,0.2381,0.1245,-0.1136
norway,2012,0.236,0.1263,-0.10969999999999999
norway,2013,0.2383,0.1205,-0.11780000000000002
norway,2014,0.2378,0.1169,-0.12090000000000001
norway,2015,0.2449,0.0996,-0.1453
norway,2016,0.2443,0.0977,-0.1466
norway,2017,0.2418,0.1025,-0.13929999999999998
norway,2018,0.2372,0.1113,-0.1259
norway,2019,0.2398,0.0966,-0.1432
norway,2020,0.2423,0.0934,-0.14889999999999998
norway,2021,0.2423,0.0934,-0.14889999999999998
norway,2022,0.2423,0.0934,-0.14889999999999998
norway,2023,0.2423,0.0934,-0.14889999999999998
russia,1820,0.1763,0.1601,-0.01620000000000002
