year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
1998,CA,California,13025.44812154402,63888.76757036359,882641.5583903654,0.1396242880981665,0.6711489028337053,0.1892268090681282,7098495.5,6956525.59,141969.91,14196991.0,662213474.0
1999,CA,California,13484.45998873868,68584.1966152585,1152331.0106937909,0.1299787255644059,0.6478714570555761,0.2221498173800179,7254943.0,7109844.14,145098.86000000002,14509886.0,752653853.0
2000,CA,California,14094.74509426646,73897.5489821048,1490166.479668265,0.1211745796515301,0.6226018482626493,0.2562235720858205,7433475.0,7284805.5,148669.5,14866950.0,864644512.0
2001,CA,California,14733.628467389835,72833.95297556467,989359.7529921876,0.1391302471253587,0.6740184728463039,0.1868512800283372,7533520.5,7382850.09,150670.41,15067041.0,797785488.0
2002,CA,California,11806.612447852109,82106.0590007464,514533.5303942743,0.1151177057659317,0.7845454366972395,0.1003368575368285,7544350.5,7393463.49,150887.01,15088701.0,773757798.0
2003,CA,California,12067.622551882116,84907.54862244637,532224.3155489638,0.1139298613583928,0.7855760401207648,0.1004940985208423,7585916.0,7434197.68,151718.32,15171832.0,803511651.0
2004,CA,California,19339.247907238267,85994.10314032357,572176.235747877,0.1680840710796924,0.732456310282748,0.0994596186375595,7663619.0,7510346.62,153272.38,15327238.0,881752963.0
2005,CA,California,19515.44476039218,94840.27262190984,608715.4960589429,0.1565830078894724,0.7457358944034558,0.0976810977070718,7786438.5,7630709.729999999,155728.77,15572877.0,970448917.0
2006,CA,California,19376.22369346429,100147.06935008708,598732.264225085,0.1496291297051787,0.7578989944125986,0.0924718758822226,7993759.5,7833884.31,159875.19,15987519.0,1035151862.0
2007,CA,California,17515.796599215162,98672.3186935085,593041.8502616725,0.1389310038522616,0.7669917452313301,0.0940772509164083,8800554.5,8624543.41,176011.09,17601109.0,1109534361.0
2008,CA,California,18117.90627291641,98410.66466393764,519467.36425114266,0.1450015931071609,0.7718501730417884,0.0831482338510506,8239107.5,8074325.35,164782.15,16478215.0,1029474051.0
2009,CA,California,20341.89548884043,93297.69896315932,491932.74080991175,0.1672684118041746,0.7518297781212528,0.0809018100745725,8192064.5,8028223.21,163841.29,16384129.0,996255767.0
2010,CA,California,11895.701603926602,87833.91421234071,1256487.7764352576,0.0966323425439485,0.6992311361184651,0.2041365213375862,8341902.5,8175064.45,166838.05000000002,16683805.0,1026910663.0
2011,CA,California,11676.74929950866,89795.50745070292,1264228.849160506,0.0934432058004224,0.7042169245992134,0.2023398696003642,8531066.5,8360445.17,170621.33000000002,17062133.0,1066049949.0
2012,CA,California,12443.640136448186,94207.9688968554,1739349.8929214664,0.0891669191354009,0.6615612125854428,0.2492718682791561,8454555.0,8285463.899999999,169091.1,16909110.0,1179870752.0
2013,CA,California,18905.178500738202,102834.30739520202,1544280.0821610854,0.12555878744033042,0.6693149273732567,0.20512628518641285,8033020.0,7872361.0,160660.0,16066041.0,1209518506.0
2014,CA,California,19503.91969355614,107944.57021341856,1825460.4616895874,0.12054428583354203,0.6538100767251781,0.22564563744127983,8144004.0,7981124.0,162880.0,16288008.0,1317690000.0
2015,CA,California,20352.448358310485,112578.01363004213,1954054.3611793611,0.1198895105012581,0.6498964579276844,0.23021403157105755,8302788.0,8136732.0,166056.0,16605576.0,1409481641.0
2016,CA,California,21314.52408906127,115431.39962282228,1927877.3729286576,0.12320897024028421,0.653908174381249,0.2228828553784667,8330939.0,8164321.0,166619.0,16661879.0,1441210000.0
2017,CA,California,22259.51643673755,121174.3970105065,2105275.5993924816,0.12155969224413922,0.6485012392853454,0.22993906847051535,8460651.0,8291438.0,169213.0,16921302.0,1549280000.0
2018,CA,California,23581.023893458398,128190.06399430284,2238757.7991824793,0.12156263690541104,0.6476164658797112,0.23082089721487778,8476839.0,8307302.0,169537.0,16953678.0,1644358399.0
2019,CA,California,23750.587390946122,130035.89064636793,2064289.8965946867,0.12339782600467825,0.6620983282068926,0.21450384578842918,8708425.0,8534257.0,174169.0,17416851.0,1676125226.0
2020,CA,California,22477.037105930427,129269.55429246897,2430789.633979936,0.11364836017420411,0.6405403295707397,0.2458113102550562,9160692.0,8977479.0,183214.0,18321385.0,1811774615.0
2021,CA,California,25981.90388503438,149248.70812454988,3422076.039291846,0.10794881823535375,0.6076920639237762,0.28435911784087003,8882238.0,8704593.0,177645.0,17764476.0,2137841412.0
2022,CA,California,27428.355957423057,152946.02192043,2596048.9474135223,0.11965094084365058,0.6538537234485565,0.22649533570779293,8752249.0,8577204.0,175045.0,17504498.0,2006334420.0
1997,CO,Colorado,12705.884168274986,59901.11221312792,659695.3021107514,0.1501826432071688,0.6938663298981866,0.1559510268946443,949177.0,930193.46,18983.54,1898354.0,80303108.0
1998,CO,Colorado,13284.699805630891,63961.05182123212,757717.7851152485,0.1457920389728348,0.6878975099455252,0.16631045108164,986762.0,967026.76,19735.24,1973524.0,89914628.0
