date,year,state,income
1991-12-31T00:00:00.000000,1991,VT,61480.0
1991-12-31T00:00:00.000000,1991,VA,76210.0
1991-12-31T00:00:00.000000,1991,WA,71640.0
1991-12-31T00:00:00.000000,1991,WV,48810.0
1991-12-31T00:00:00.000000,1991,WI,65650.0
1991-12-31T00:00:00.000000,1991,WY,61260.0
1992-12-31T00:00:00.000000,1992,AL,53080.0
1992-12-31T00:00:00.000000,1992,AK,85970.0
1992-12-31T00:00:00.000000,1992,AZ,60380.0
1992-12-31T00:00:00.000000,1992,AR,49120.0
1992-12-31T00:00:00.000000,1992,CA,71780.0
1992-12-31T00:00:00.000000,1992,CO,66810.0
1992-12-31T00:00:00.000000,1992,CT,83990.0
1992-12-31T00:00:00.000000,1992,DE,73380.0
1992-12-31T00:00:00.000000,1992,District of Columbia,62210.0
1992-12-31T00:00:00.000000,1992,FL,56250.0
1992-12-31T00:00:00.000000,1992,GA,59220.0
1992-12-31T00:00:00.000000,1992,HI,86610.0
1992-12-31T00:00:00.000000,1992,ID,56980.0
1992-12-31T00:00:00.000000,1992,IL,64890.0
1992-12-31T00:00:00.000000,1992,IN,58670.0
1992-12-31T00:00:00.000000,1992,IA,59110.0
1992-12-31T00:00:00.000000,1992,KS,62410.0
1992-12-31T00:00:00.000000,1992,KY,48300.0
1992-12-31T00:00:00.000000,1992,LA,52320.0
1992-12-31T00:00:00.000000,1992,ME,60910.0
1992-12-31T00:00:00.000000,1992,MD,76510.0
1992-12-31T00:00:00.000000,1992,MA,74780.0
1992-12-31T00:00:00.000000,1992,MI,66360.0
1992-12-31T00:00:00.000000,1992,MN,63720.0
1992-12-31T00:00:00.000000,1992,MS,42300.0
1992-12-31T00:00:00.000000,1992,MO,56270.0
1992-12-31T00:00:00.000000,1992,MT,54550.0
1992-12-31T00:00:00.000000,1992,NE,61800.0
1992-12-31T00:00:00.000000,1992,NV,65620.0
1992-12-31T00:00:00.000000,1992,NH,81100.0
1992-12-31T00:00:00.000000,1992,NJ,80210.0
1992-12-31T00:00:00.000000,1992,NM,53180.0
1992-12-31T00:00:00.000000,1992,NY,63860.0
1992-12-31T00:00:00.000000,1992,NC,57110.0
1992-12-31T00:00:00.000000,1992,ND,55440.0
1992-12-31T00:00:00.000000,1992,OH,64590.0
1992-12-31T00:00:00.000000,1992,OK,52000.0
1992-12-31T00:00:00.000000,1992,OR,65660.0
1992-12-31T00:00:00.000000,1992,PA,61460.0
1992-12-31T00:00:00.000000,1992,RI,62590.0
