country,year,mobility,inequality_controlled,growth_controlled
France,1981,0.8648471242595478,0.7547825768071199,0.7366649166768867
France,1982,0.8710021368086277,0.7514054367321418,0.7494333599702022
France,1983,0.8606321543670612,0.7445898744634577,0.7446073355932102
France,1984,0.8497624138430779,0.7348057721438174,0.7457087466492879
France,1985,0.8377674163854746,0.7274366576410127,0.7428840429481061
France,1986,0.8238332718474765,0.7233096931107906,0.7313575019251206
France,1987,0.8082467550745056,0.71670905170711,0.7236752723427813
France,1988,0.8058277724471057,0.7207471028450503,0.7141641840435714
France,1989,0.8093749621112583,0.723509001222312,0.7186572708350186
France,1990,0.7996173530261723,0.7114896622533357,0.7228630758624925
France,1991,0.7927307347242967,0.7001182403438133,0.7300271125811266
France,1992,0.7738276570499044,0.6873230081265579,0.724060040446213
France,1993,0.759673057746362,0.6737716719699649,0.7260916902619993
France,1994,0.745994345954045,0.6632528012822203,0.72499950695061
France,1995,0.740835234900994,0.6576220854374168,0.7266938541436212
France,1996,0.7214539067728388,0.6501836839056789,0.7159152236075164
France,1997,0.713582747703603,0.6474625093038963,0.7113323016312332
France,1998,0.7022382805527625,0.6486613909827132,0.6983910769727464
France,1999,0.6905912674130141,0.6438433199217016,0.6928982057533729
France,2000,0.675396152739281,0.6391037250439776,0.6840125897296678
France,2001,0.6604968764486503,0.6309800884208263,0.6799363247287543
France,2002,0.6474234135213619,0.6204870815895054,0.6813075622798234
France,2003,0.6342908251160689,0.6082296273305461,0.6837132831612995
France,2004,0.6252608591775463,0.6062820933515878,0.6778169659523183
France,2005,0.632144342240371,0.6134069152019206,0.6757187378754834
France,2006,0.6243213890590363,0.6085365279226118,0.6748011301803611
France,2007,0.6062256422905133,0.6070254212040429,0.6601528695595923
France,2008,0.5904815843987192,0.5963412645502605,0.6602366925510861
France,2009,0.578143025364158,0.5766291452414979,0.6771288351884182
France,2010,0.5736576122889143,0.5811305721432869,0.6666411380038441
France,2011,0.5797423075883738,0.5863442017399005,0.6648220856608442
France,2012,0.5709227992014223,0.5797357708887312,0.6683907836041723
France,2013,0.5828687382938931,0.5814659587821418,0.6774696763335301
France,2014,0.5851363890595591,0.581965445579556,0.6786506366169412
Japan,1977,0.9606591093188381,0.9815448925595731,0.843943112547671
Japan,1978,0.9518854717971106,0.9787430717336866,0.8430435061569674
Japan,1979,0.9407814119967118,0.9756947305270756,0.8382020720463127
Japan,1980,0.9427778765684001,0.9758319682872639,0.8400332615383067
Japan,1981,0.9264924010855247,0.964657245298532,0.8435777668503953
Japan,1982,0.9215842974372398,0.9608921294194014,0.8474496166476557
Japan,1983,0.9170908279836472,0.9591471278228978,0.8415900135334828
Japan,1984,0.9170053397071285,0.9601050213101598,0.8391203775304007
Japan,1985,0.909586872493142,0.9576548272453308,0.8315940658374446
Japan,1986,0.8998020247138966,0.954911205321214,0.8252870903928355
Japan,1987,0.8776743962716718,0.9505390422288912,0.8071508609157063
Japan,1988,0.8748732222906632,0.9524498196885053,0.8004066956465801
Japan,1989,0.8603299676237042,0.9493286273772755,0.789667124846507
Japan,1990,0.845318452441447,0.944326717657791,0.7815685099061118
Japan,1991,0.8417118258130412,0.9349611768494455,0.79239817395517
Japan,1992,0.8679796254838983,0.9254795781436954,0.8347914843054385
Japan,1993,0.8463877052480447,0.9148192079472728,0.8236023133527908
