country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Central Europe and the Baltics,221.2241757,252.2954829,298.3156143,373.1844309,447.0153498,523.0055495,580.2969991,729.6652514,927.8453192,842.695269,869.7069331,921.1159899,864.2159686,910.7864824,931.2562969,815.7615726,852.6732992,939.0595471,1053.709557,1090.092699,1182.20038,1391.639262,,
Switzerland,3559.819824,3763.384521,4211.729492,5018.527344,5608.703125,5673.939941,5671.981445,6154.703125,7120.652832,7297.379883,7640.449219,9138.367188,8753.820313,9118.189453,9307.96875,9082.450195,9078.758789,9119.969727,9212.432617,9341.0625,10085.45605,10897.4502,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,356.7441406,326.9662476,322.8740845,349.7790222,427.4367676,500.8745117,571.8983154,649.9224243,726.7366943,738.284729,870.7095947,994.6660767,1081.460693,1183.62085,1150.061646,1133.279785,1179.733643,1367.716431,1457.272827,1369.484009,1280.632324,1518.040039,1380.688232,
China,42.99362183,44.56903839,50.15548325,56.79228973,64.54340363,73.29019928,82.79460144,98.87766266,134.2076416,165.2944489,189.3437042,239.7543335,285.31427,329.7810669,363.0093994,393.7799072,398.7892151,440.588501,504.7997437,539.6194458,583.4321899,670.5145874,,
Cote d'Ivoire,54.16062546,54.03316116,57.24786377,64.14105988,67.6804657,62.34985352,60.48682404,64.6838913,75.87518311,72.83110809,71.98825836,72.44979095,74.48454285,71.52493286,79.31149292,62.51667023,66.39353943,68.61872864,70.97071075,73.64801788,85.17427826,81.86914825,,
Cameroon,28.79333305,27.46539497,31.41914558,38.10652161,41.7527771,42.60778809,44.01630783,48.61966705,53.99885559,50.604702,49.50485611,57.71255493,56.3600235,56.61405563,61.80369186,50.31904221,51.2496109,50.27867889,57.7002182,56.18640518,58.0969696,63.78601837,,
"Congo, Dem. Rep.",18.20225716,5.65382099,4.34459352,6.27501249,8.14487171,8.88715935,10.77356529,11.98260307,15.89509487,13.18276978,12.53950882,12.27988434,13.62572193,15.86667633,18.79024887,19.13417244,19.91032028,18.74936485,17.87852287,19.85771751,21.25385666,22.32123756,,
"Congo, Rep.",17.44675827,20.41893959,17.09034348,21.64731407,27.67554474,31.10122681,36.16910553,42.22277832,63.7890892,48.9272995,54.86231995,59.84463501,71.6878891,72.29035187,71.47676086,57.67850113,54.67388153,52.68054199,47.67589569,58.90272522,80.80835724,80.5149231,,
Colombia,134.2844391,138.0286408,131.7609253,129.3396912,159.2083283,209.226471,239.6455536,309.1078186,378.6791382,383.5496216,452.0512085,501.2983093,546.2114868,579.8796387,586.8764038,468.6054382,447.0699463,495.2702637,517.1584473,500.7313843,462.2328186,557.5394898,,
Comoros,47.50006104,45.25306702,51.05594635,63.81992722,70.50469971,67.78135681,65.70906067,69.87508392,73.73594666,69.42589569,69.0898819,80.95452881,76.77297974,81.4433136,84.27106476,60.86703491,63.14864731,74.52148438,74.43584442,77.80075073,88.67053223,99.03723907,,
Cabo Verde,58.89910889,62.78510284,68.21862793,83.48031616,92.04717255,94.58552551,111.2813492,125.5742188,125.5351028,127.7991486,142.8777161,152.2834778,167.4928131,181.2954865,181.4419556,139.4853668,144.3252258,165.0376282,178.7783661,171.7717133,196.2696381,247.9079437,,
Costa Rica,247.701889,255.182312,276.2371216,287.3734741,290.1335449,309.5142822,359.7924805,423.6381226,510.9915466,529.6087036,654.1734009,742.1419067,776.4348755,816.8787231,822.9100342,875.3497315,870.7384033,853.7504883,902.2211914,914.8847046,953.0825195,948.9216309,,
Caribbean small states,301.5342878,298.9433034,324.2131935,346.5526608,372.8067277,399.2302992,444.9560849,477.745625,513.2434256,522.8143127,534.0104558,545.0828455,578.8165931,590.6064276,598.42446,608.7410212,601.543734,655.9892332,664.9744799,702.7380671,687.647691,720.8593161,,
Cuba,181.1472473,198.5879364,213.9562683,227.6985931,232.5059509,331.9881287,387.4414673,570.3143311,610.0915527,676.2246094,608.9615479,695.9915772,601.4242554,710.793396,864.1555786,985.4190064,984.2486572,980.0921631,973.1374512,1013.101379,1186.156494,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,751,782,890,1145,1287,1366,1474,1694,2155,2105,2045,2115,1899,1916,1874,1596,1649,1773,2021,2093,2362,2990,,
Czechia,342.9210815,388.5440369,497.7420349,640.6604004,746.3289185,852.6524658,942.118042,1110.176636,1449.336792,1442.242798,1516.048584,1654.510132,1515.81604,1514.014038,1516.056274,1314.83728,1384.663574,1525.3479,1753.198975,1803.05249,2119.268311,2498.516602,,
Germany,2344.410889,2346.669189,2567.50293,3152.794189,3459.824951,3558.213379,3698.043701,4182.916016,4669.760254,4674.919434,4611.421875,5037.491699,4765.678711,5100.152344,5309.154785,4627.35791,4746.870117,5070.195801,5511.214355,5486.98877,5936.251465,6626.004883,6191.035156,
Djibouti,35.74236679,33.86995316,39.82229614,46.68310547,40.42881012,45.57660675,53.81796265,55.77771378,56.53337097,57.57979965,56.37421417,62.67469025,65.69985962,61.38714981,66.44046021,80.65351105,69.79541779,65.55883026,64.47797394,62.30675125,62.75099945,87.74766541,,
Dominica,259.646698,231.9836426,227.2182007,243.1025696,253.9832459,263.8952026,271.4978333,293.6182556,336.3532715,354.4477844,370.3132935,388.8713074,408.7749023,387.0828857,394.6729431,398.5212402,421.3217773,404.6090393,484.5222168,442.5115967,420.0245972,482.429657,,
Denmark,2496,2603,2896,3607,4195,4443,4779,5468,6138,6222,6171,6438,6168,6334,6467,5532,5624,5834,6233,6059,6442,7382,6332,
Dominican Republic,138.9989777,144.1726227,153.8589935,105.3111572,105.8401489,169.9686585,162.9429779,191.2214508,230.5057831,238.2713623,271.2666321,295.194397,305.4364624,303.3797913,313.4575195,322.9460754,329.1087952,337.6092529,327.9010925,346.5079041,354.0936279,416.8997498,,
Algeria,62.11769485,67.33850098,66.94760132,76.23547363,93.02433014,101.3037338,117.433136,151.7792053,207.8488159,208.9350128,230.0639191,288.313324,336.6726685,333.1602783,361.1594238,292.275177,261.400238,265.8384399,266.4646912,235.9904175,206.0351257,204.5666199,,
East Asia & Pacific (excluding high income),38.54480586,39.68757048,44.25121333,50.53935616,56.84122423,65.29223156,74.88194324,89.5462144,116.9780399,138.9579039,160.8860768,200.94071,234.2316905,264.6731513,288.2497238,308.0968903,313.3842086,343.6165976,389.5017746,415.7170378,447.3343765,515.0557354,,
